-120,0,1
-120,30,1
-120,60,1
-90,0,1
-90,30,1
-90,60,1
-90,90,1
-60,0,1
-60,30,1
-60,60,1
-60,90,1
-60,120,1
-60,150,1
-60,180,0
-30,0,1
-30,30,1
-30,60,1
-30,90,1
-30,120,1
-30,150,1
-30,180,1
-30,210,0
-30,240,0
-30,270,0
0,-0,1
0,30,1
1.1102e-16,60,1
0,90,1
0,120,1
0,150,1
0,180,1
0,210,0
0,240,0
0,270,0
0,300,0
30,0,1
30,30,1
30,60,1
30,90,1
30,120,1
30,150,1
30,180,1
30,210,0
30,240,0
30,270,0
60,0,1
60,30,1
60,60,1
60,90,1
60,120,1
60,150,1
60,180,0
60,210,0
90,0,1
90,30,1
90,60,1
90,90,1
120,-9.18e-17,1
120,30,1
120,60,1
