-140,0,1
-140,20,1
-140,40,1
-120,0,1
-120,20,1
-120,40,1
-120,60,1
-100,0,1
-100,20,1
-100,40,1
-100,60,1
-100,80,1
-80,-6.5985e-17,1
-80,20,1
-80,40,1
-80,60,1
-80,80,1
-80,100,1
-80,120,1
-80,140,1
-60,0,1
-60,20,1
-60,40,1
-60,60,1
-60,80,1
-60,100,1
-60,120,1
-60,140,1
-60,160,1
-60,180,0
-60,200,0
-40,-8.7573e-17,1
-40,20,1
-40,40,1
-40,60,1
-40,80,1
-40,100,1
-40,120,1
-40,140,1
-40,160,1
-40,180,1
-40,200,0
-40,220,0
-40,240,0
-20,0,1
-20,20,1
-20,40,1
-20,60,1
-20,80,1
-20,100,1
-20,120,1
-20,140,1
-20,160,1
-20,180,1
-20,200,0
-20,220,0
-20,240,0
-20,260,0
-20,280,0
0,-0,1
1.6653e-16,20,1
0,40,1
1.1102e-16,60,1
0,80,1
-1.1102e-16,100,1
0,120,1
0,140,1
0,160,1
0,180,1
0,200,0
0,220,0
0,240,0
0,260,0
0,280,0
0,300,0
20,0,1
20,20,1
20,40,1
20,60,1
20,80,1
20,100,1
20,120,1
20,140,1
20,160,1
20,180,1
20,200,0
20,220,0
20,240,0
20,260,0
20,280,0
20,300,0
40,-8.7573e-17,1
40,20,1
40,40,1
40,60,1
40,80,1
40,100,1
40,120,1
40,140,1
40,160,1
40,180,0
40,200,0
40,220,0
40,240,0
40,260,0
60,0,1
60,20,1
60,40,1
60,60,1
60,80,1
60,100,1
60,120,1
60,140,1
60,160,1
60,180,0
60,200,0
80,-6.5985e-17,1
80,20,1
80,40,1
80,60,1
80,80,1
80,100,1
80,120,1
100,0,1
100,20,1
100,40,1
100,60,1
100,80,1
120,-9.18e-17,1
120,20,1
120,40,1
120,60,1
140,0,1
140,20,1
140,40,1
